data,temperature_2m_max,temperature_2m_min,precipitation_sum,weather_code
2024-10-19,22.1,19.6,15.8,63
2024-10-20,22.2,19.6,32.8,63
2024-10-21,25.2,19.9,1.7,51
2024-10-22,28.4,20.8,0.0,3
2024-10-23,29.0,23.1,0.0,3
2024-10-24,30.6,22.7,0.3,51
2024-10-25,33.0,25.2,0.1,51
2024-10-26,34.5,23.0,1.5,53
2024-10-27,23.9,21.4,3.4,53
2024-10-28,24.1,20.6,1.0,51
2024-10-29,25.3,20.6,0.4,51
2024-10-30,25.1,20.5,0.6,51
2024-10-31,24.6,19.9,0.6,51
2024-11-01,25.8,19.9,0.0,3
2024-11-02,27.4,21.0,0.0,3
2024-11-03,27.4,21.7,0.3,51
2024-11-04,28.5,22.8,1.6,53
2024-11-05,29.0,22.5,1.3,51
2024-11-06,30.4,22.8,0.0,3
2024-11-07,32.0,23.4,0.1,51
2024-11-08,29.3,21.9,20.1,63
2024-11-09,23.5,21.1,10.2,61
2024-11-10,24.0,19.9,1.0,51
2024-11-11,26.8,19.7,0.0,3
2024-11-12,34.7,20.4,0.3,51
2024-11-13,22.8,19.9,11.7,61
2024-11-14,23.4,19.8,0.4,51
2024-11-15,25.8,20.8,5.3,61
2024-11-16,23.7,20.9,44.6,63
2024-11-17,26.6,20.4,0.2,51
2024-11-18,28.7,20.7,0.0,3
2024-11-19,25.6,21.7,0.0,3
2024-11-20,27.2,21.5,0.0,3
2024-11-21,25.9,22.3,5.4,53
2024-11-22,24.4,21.6,3.0,53
2024-11-23,23.7,20.2,7.6,61
2024-11-24,23.6,19.0,1.1,51
2024-11-25,25.8,18.7,0.0,3
2024-11-26,32.6,19.1,0.0,3
2024-11-27,36.5,22.9,0.0,3
2024-11-28,38.3,24.4,0.2,51
2024-11-29,27.2,23.9,1.4,51
2024-11-30,28.2,22.5,1.5,55
2024-12-01,27.0,22.4,1.3,53
2024-12-02,35.5,22.9,0.0,3
2024-12-03,28.2,22.9,19.4,63
2024-12-04,23.1,21.8,37.1,63
2024-12-05,25.2,21.8,8.7,61
2024-12-06,31.0,22.8,0.0,3
2024-12-07,36.5,24.4,0.0,3
2024-12-08,28.6,23.8,0.2,51
2024-12-09,29.9,23.6,0.7,51
2024-12-10,31.9,22.7,29.8,65
2024-12-11,25.3,21.2,3.0,51
2024-12-12,25.8,19.8,0.4,51
2024-12-13,27.9,21.9,0.0,3
2024-12-14,30.6,22.4,1.2,53
2024-12-15,31.0,22.7,4.4,55
2024-12-16,33.9,23.0,5.5,61
2024-12-17,26.9,22.4,0.5,51
2024-12-18,25.7,21.9,0.7,51
2024-12-19,26.9,21.7,0.0,3
2024-12-20,35.3,22.8,11.7,65
2024-12-21,31.0,23.1,4.0,61
2024-12-22,28.6,23.6,4.0,61
2024-12-23,26.0,23.1,3.0,53
2024-12-24,26.5,22.2,3.4,53
2024-12-25,30.7,22.6,0.0,3
2024-12-26,33.9,25.3,5.5,55
2024-12-27,31.1,23.1,8.8,61
2024-12-28,28.3,23.1,2.5,53
2024-12-29,27.7,22.4,1.8,53
2024-12-30,27.2,22.6,6.1,61
2024-12-31,27.8,21.4,0.0,3
