data,temperature_2m_max,temperature_2m_min,precipitation_sum,weather_code
2023-05-12,23.0,19.6,4.3,61
2023-05-13,21.6,18.3,7.7,63
2023-05-14,23.3,17.1,0.1,51
2023-05-15,24.4,18.7,0.5,51
2023-05-16,25.4,18.3,0.0,3
2023-05-17,23.6,19.6,3.1,53
2023-05-18,23.4,18.1,0.4,51
2023-05-19,23.3,17.4,0.0,3
2023-05-20,23.4,16.6,0.0,0
2023-05-21,24.3,18.3,0.0,3
2023-05-22,24.6,17.9,0.0,3
2023-05-23,24.9,19.6,0.0,3
2023-05-24,25.8,19.1,0.0,3
2023-05-25,25.0,19.0,0.0,0
2023-05-26,25.7,19.5,0.0,3
2023-05-27,26.2,17.6,0.0,2
2023-05-28,26.5,19.0,0.1,51
2023-05-29,22.7,20.7,11.8,63
2023-05-30,23.0,20.3,0.0,3
2023-05-31,21.8,19.7,10.2,63
2023-06-01,23.0,20.2,5.8,55
2023-06-02,22.4,18.4,3.8,53
2023-06-03,23.7,17.5,0.0,3
2023-06-04,23.6,17.6,0.0,1
2023-06-05,24.6,16.4,0.0,0
2023-06-06,23.4,17.9,1.6,53
2023-06-07,23.5,17.1,0.0,3
2023-06-08,24.6,17.7,0.0,0
2023-06-09,26.3,18.6,0.0,0
2023-06-10,28.7,18.9,0.0,0
2023-06-11,29.6,19.9,0.0,0
2023-06-12,25.5,20.8,0.0,2
2023-06-13,24.1,20.2,3.1,53
2023-06-14,24.6,19.4,0.6,51
2023-06-15,24.9,20.8,0.3,51
2023-06-16,26.1,20.9,0.1,51
2023-06-17,22.4,19.9,4.0,55
2023-06-18,22.0,18.5,1.1,53
2023-06-19,21.1,18.0,3.4,53
2023-06-20,22.7,16.8,0.0,0
2023-06-21,23.7,17.1,0.0,3
2023-06-22,24.8,17.0,0.0,3
2023-06-23,26.0,17.9,0.0,3
2023-06-24,27.3,18.5,0.0,3
2023-06-25,27.0,18.2,0.0,3
2023-06-26,27.6,16.6,0.0,0
2023-06-27,29.4,18.9,0.0,0
2023-06-28,28.8,19.5,0.0,1
2023-06-29,25.2,19.4,3.3,55
2023-06-30,22.8,18.2,1.0,51
2023-07-01,25.2,18.4,0.1,51
2023-07-02,23.1,19.2,1.6,53
2023-07-03,22.4,18.0,4.5,53
2023-07-04,21.9,16.6,0.2,51
2023-07-05,23.8,16.3,0.0,0
2023-07-06,25.7,16.6,0.0,0
2023-07-07,27.4,17.1,0.0,3
2023-07-08,30.0,17.3,0.0,3
2023-07-09,25.7,19.5,0.8,51
2023-07-10,26.3,18.6,0.0,3
2023-07-11,29.0,20.1,0.0,3
2023-07-12,26.9,20.1,0.0,3
2023-07-13,35.0,22.5,0.0,3
2023-07-14,22.7,18.0,3.6,55
2023-07-15,22.4,16.5,0.4,51
2023-07-16,26.4,16.9,0.0,0
2023-07-17,23.5,17.8,0.0,3
2023-07-18,23.5,18.4,2.1,53
2023-07-19,22.3,18.9,13.2,63
2023-07-20,20.7,18.2,6.4,61
2023-07-21,24.1,17.5,0.0,2
2023-07-22,24.6,18.0,0.0,1
2023-07-23,25.7,16.8,0.0,1
2023-07-24,26.4,18.6,0.0,0
2023-07-25,27.5,18.6,0.0,2
2023-07-26,26.8,19.3,0.0,3
2023-07-27,28.9,20.0,0.0,0
2023-07-28,26.1,20.1,0.3,51
2023-07-29,20.9,19.2,21.9,63
2023-07-30,21.4,18.2,0.7,51
2023-07-31,23.0,17.3,0.0,3
2023-08-01,24.3,17.9,0.0,1
2023-08-02,24.3,17.0,0.0,2
2023-08-03,28.5,16.9,0.0,1
2023-08-04,24.0,18.8,0.4,51
2023-08-05,25.3,18.1,0.0,3
2023-08-06,25.3,18.5,0.0,3
2023-08-07,32.3,19.8,0.0,0
2023-08-08,23.1,20.2,4.5,53
2023-08-09,24.0,20.0,0.9,51
2023-08-10,26.2,19.3,0.0,1
2023-08-11,30.4,20.3,0.0,0
2023-08-12,31.3,20.1,0.0,3
2023-08-13,23.9,20.1,9.6,61
2023-08-14,21.9,19.8,6.1,63
2023-08-15,24.2,20.0,0.1,51
2023-08-16,25.1,19.9,0.0,3
2023-08-17,26.6,19.5,0.7,51
2023-08-18,31.1,20.2,0.0,0
2023-08-19,30.2,21.0,0.1,51
2023-08-20,24.5,19.9,18.4,65
2023-08-21,29.3,18.4,0.0,3
2023-08-22,28.8,19.8,0.0,1
